Y,X,PC_4,Year,Gemeente code,Provincie code,Provincie name,Gemeente name
51.7888612276,4.46740072448,3273,2020,1963,28,Zuid-Holland,Hoeksche Waard
51.8146764514,4.66963295432,3311,2020,505,28,Zuid-Holland,Dordrecht
51.7950291845,4.70115246391,3319,2020,505,28,Zuid-Holland,Dordrecht
52.0957634031,4.96426645399,3481,2020,632,26,Utrecht,Woerden
52.1084854809,5.13247591225,3571,2020,344,26,Utrecht,Utrecht
52.1866506168,5.22576848789,3749,2020,308,26,Utrecht,Baarn
52.172098602,5.25871580126,3763,2020,342,26,Utrecht,Soest
52.1549999326,5.34679409614,3819,2020,307,26,Utrecht,Amersfoort
52.3374569305,5.608144587,3844,2020,243,25,Gelderland,Harderwijk
51.891620076,5.39327047016,4017,2020,281,25,Gelderland,Tiel
51.9578962054,5.18897222013,4106,2020,216,25,Gelderland,Culemborg
51.8352688974,5.17369384402,4174,2020,1960,25,Gelderland,West Betuwe
51.8416128626,5.24686297269,4181,2020,1960,25,Gelderland,West Betuwe
51.4521881319,4.04373347924,4416,2020,703,29,Zeeland,Reimerswaal
51.469910482,3.99352647757,4423,2020,678,29,Zeeland,Kapelle
51.5280812894,3.80075811877,4471,2020,664,29,Zeeland,Goes
51.5862498095,3.7634959343,4491,2020,1695,29,Zeeland,Noord-Beveland
51.3378846213,3.69461069354,4521,2020,715,29,Zeeland,Terneuzen
51.5580144785,4.1347523427,4693,2020,716,29,Zeeland,Tholen
51.5328587749,4.45921021969,4701,2020,1674,30,Noord-Brabant,Roosendaal
51.6659902794,4.70618191622,4766,2020,1719,30,Noord-Brabant,Drimmelen
51.6110182063,4.78281068032,4826,2020,758,30,Noord-Brabant,Breda
51.5377419792,4.75904052282,4836,2020,758,30,Noord-Brabant,Breda
51.5924726309,5.10994862794,5012,2020,855,30,Noord-Brabant,Tilburg
51.6540367361,5.02068999211,5172,2020,809,30,Noord-Brabant,Loon op Zand
51.7292642222,5.29279450967,5237,2020,796,30,Noord-Brabant,'s-Hertogenbosch
51.7452696746,5.40316213359,5249,2020,796,30,Noord-Brabant,'s-Hertogenbosch
51.7250754978,5.16177972772,5255,2020,797,30,Noord-Brabant,Heusden
51.6136099277,5.37562092358,5294,2020,845,30,Noord-Brabant,Sint-Michielsgestel
51.7807923885,5.21019530728,5315,2020,297,25,Gelderland,Zaltbommel
51.7717985756,5.49100626607,5345,2020,828,30,Noord-Brabant,Oss
51.7625427133,5.72871882106,5361,2020,786,30,Noord-Brabant,Grave
51.5691546712,5.47926760523,5491,2020,1948,30,Noord-Brabant,Meierijstad
51.4811314747,5.47356143803,5628,2020,772,30,Noord-Brabant,Eindhoven
51.4270868472,5.50395850842,5643,2020,772,30,Noord-Brabant,Eindhoven
51.5147059718,5.6500106027,5735,2020,1659,30,Noord-Brabant,Laarbeek
51.4155660151,5.83732853841,5757,2020,762,30,Noord-Brabant,Deurne
51.5113804239,5.79981823241,5763,2020,1652,30,Noord-Brabant,Gemert-Bakel
51.6173532028,5.97259956491,5827,2020,756,30,Noord-Brabant,Boxmeer
51.5033832233,6.1530543069,5871,2020,1507,31,Limburg,Horst aan de Maas
51.3461509279,6.14142434104,5931,2020,983,31,Limburg,Venlo
51.3660312038,6.04672526878,5993,2020,1894,31,Limburg,Peel en Maas
51.2223289767,5.66877304191,6006,2020,988,31,Limburg,Weert
51.1912632842,5.77748877295,6012,2020,1640,31,Limburg,Leudal
51.2368927506,5.59003200216,6024,2020,1706,30,Noord-Brabant,Cranendonck
51.1797698607,6.02354382899,6044,2020,957,31,Limburg,Roermond
50.8131619326,5.76499352537,6251,2020,1903,31,Limburg,Eijsden-Margraten
50.8641005993,5.89130565984,6311,2020,986,31,Limburg,Voerendaal
50.83772866,5.97444438563,6369,2020,965,31,Limburg,Simpelveld
50.8887571122,5.96228030939,6411,2020,917,31,Limburg,Heerlen
50.9682425121,5.90653147076,6439,2020,1954,31,Limburg,Beekdaelen
50.9420722333,5.95940387728,6444,2020,899,31,Limburg,Brunssum
50.9384545846,5.9422947515,6446,2020,899,31,Limburg,Brunssum
51.8360001993,5.90331041377,6574,2020,1945,25,Gelderland,Berg en Dal
51.9348535884,6.23684602965,7035,2020,1955,25,Gelderland,Montferland
51.8890149773,6.35207707034,7076,2020,1509,25,Gelderland,Oude IJsselstreek
51.9691785644,6.69407165923,7102,2020,294,25,Gelderland,Winterswijk
52.096955611,6.72256845902,7157,2020,1859,25,Gelderland,Berkelland
52.0529875001,6.15307819814,7224,2020,1876,25,Gelderland,Bronckhorst
52.2192237443,5.9444496099,7314,2020,200,25,Gelderland,Apeldoorn
52.1493816703,6.12305909788,7399,2020,213,25,Gelderland,Brummen
